subj,numb,numb corrected,crse,looks good,numb new,comments
sosc,,,sosc,unfixable,,unfixable
span,,,span,unfixable,,unfixable
span,1303,1303,span1303,TRUE,1303,
stat,,,stat,unfixable,,unfixable
univ,100,1100,univ1100,TRUE,1100,
teca,,,teca,unfixable,,unfixable
teca,1311,1311,teca1311,TRUE,1311,
teca,24042,24042,teca2404,TRUE,2404,
univ,,,univ,unfixable,,unfixable
univ,0314-380,0314-380,univ0314,TRUE,0314,
univ,0314-390,0314-390,univ0314,TRUE,0314,
univ,1100,1100,univ1100,TRUE,1100,
univ,314,0314,univ0314,TRUE,0314,
univ,314380,314380,univ3143,TRUE,3143,
vete,,,vete,unfixable,,unfixable
wses,,,wses,unfixable,,unfixable
wses,2322-010,2322-010,wses2322,TRUE,2322,
wses,2451-010,2451-010,wses2451,TRUE,2451,
wses,2451-510,2451-510,wses2451,TRUE,2451,
wses,3310,3310,wses3310,TRUE,3310,
wses,3387,3387,wses3387,TRUE,3387,
wses,3408,3408,wses3408,TRUE,3408,
wses,4302,4302,wses4302,TRUE,4302,
